lemma,abs_frequency,ipm
соглашаться,555,132.1
одноклассник,553,131.7
светлый,551,131.2
радость,551,131.2
переставать,551,131.2
десять,551,131.2
вырастать,550,131
пространство,550,131
строительство,549,130.7
химический,549,130.7
член,548,130.5
мировой,547,130.2
соединять,546,130
краска,545,129.8
э,545,129.8
открытие,545,129.8
ноготь,544,129.5
план,544,129.5
предпочитать,544,129.5
колесо,543,129.3
надеяться,541,128.8
десяток,541,128.8
тон,540,128.6
запоминать,540,128.6
частица,540,128.6
восток,539,128.3
столько,539,128.3
ошибка,539,128.3
подружка,538,128.1
франция,537,127.9
многочисленный,537,127.9
разнообразный,536,127.6
тщательно,535,127.4
острый,535,127.4
удивительный,534,127.1
питание,534,127.1
сахар,534,127.1
слушать,533,126.9
лишний,533,126.9
исчезать,532,126.7
жир,532,126.7
лошадь,532,126.7
представитель,531,126.4
летний,531,126.4
зачем,531,126.4
потерять,531,126.4
откуда,531,126.4
тень,530,126.2
иван,530,126.2
африка,530,126.2
спор,529,126
внешность,528,125.7
след,528,125.7
шея,528,125.7
защита,527,125.5
еда,527,125.5
слава,526,125.2
секрет,526,125.2
летать,526,125.2
символ,526,125.2
приглашать,526,125.2
сказка,526,125.2
счастие,526,125.2
ко,526,125.2
требоваться,525,125
путешествие,525,125
дорогой,524,124.8
чай,522,124.3
письмо,521,124
попросить,521,124
существование,521,124
включать,520,123.8
экспедиция,520,123.8
кора,520,123.8
вероятно,520,123.8
жирный,519,123.6
рассказ,519,123.6
макияж,518,123.3
очищать,518,123.3
справляться,518,123.3
сестра,516,122.9
деятельность,516,122.9
север,516,122.9
круглый,516,122.9
вдоль,515,122.6
серый,514,122.4
отмечать,513,122.1
отверстие,513,122.1
немецкий,511,121.7
уход,511,121.7
невозможно,511,121.7
естественно,510,121.4
удар,510,121.4
влияние,509,121.2
фильм,508,121
наряд,508,121
свое,507,120.7
здоровый,507,120.7
чужой,506,120.5
граница,506,120.5
неприятный,506,120.5
греческий,505,120.2
дружба,505,120.2
личный,504,120
будущий,504,120
смесь,504,120
подбирать,504,120
собор,503,119.8
складываться,503,119.8
содержаться,503,119.8
гнездо,503,119.8
зависимость,502,119.5
больной,502,119.5
рассматривать,502,119.5
применять,502,119.5
показываться,501,119.3
тарелка,500,119
атмосфера,500,119
прибор,500,119
римский,500,119
культура,499,118.8
пыль,499,118.8
парус,498,118.6
понравиться,498,118.6
черта,497,118.3
зеркало,497,118.3
приготовление,497,118.3
восточный,497,118.3
разделять,496,118.1
весна,496,118.1
скала,496,118.1
останавливаться,496,118.1
воля,495,117.9
замечательный,495,117.9
важно,494,117.6
сантиметр,494,117.6
колено,494,117.6
делаться,494,117.6
научный,493,117.4
штат,492,117.1
достоинство,492,117.1
запас,492,117.1
странный,491,116.9
кольцо,491,116.9
песня,491,116.9
какой-либо,491,116.9
прием,490,116.7
дверь,490,116.7
оказывать,490,116.7
пить,490,116.7
мощный,489,116.4
во-первых,487,116
растительный,487,116
популярный,486,115.7
мешать,486,115.7
суд,485,115.5
обитать,485,115.5
аппарат,485,115.5
личность,483,115
сверху,483,115
обходиться,483,115
избавляться,483,115
удобный,483,115
нередко,482,114.8
легенда,481,114.5
азия,480,114.3
грудь,480,114.3
орден,478,113.8
погода,478,113.8
далее,477,113.6
вряд,477,113.6
кой,477,113.6
европейский,476,113.3
свойство,476,113.3
поверять,476,113.3
труба,475,113.1
племя,475,113.1
подавать,474,112.9
продолжаться,474,112.9
понятие,474,112.9
физический,474,112.9
располагаться,473,112.6
детский,473,112.6
изделие,473,112.6
юг,471,112.1
станция,471,112.1
модный,470,111.9
возвращаться,470,111.9
мастер,470,111.9
спокойно,470,111.9
обыкновенный,469,111.7
плод,469,111.7
квартира,469,111.7
доказывать,469,111.7
автор,467,111.2
подросток,467,111.2
башня,466,111
брюки,466,111
привыкать,466,111
овощ,466,111
прочитывать,465,110.7
просить,465,110.7
полюс,464,110.5
слегка,464,110.5
западный,464,110.5
оружие,464,110.5
плавать,463,110.2
команда,463,110.2
менять,463,110.2
посуда,463,110.2
ум,463,110.2
основание,462,110
домой,462,110
польза,462,110
уверенный,461,109.8
синий,460,109.5
тем,460,109.5
стенка,460,109.5
суша,460,109.5
предполагать,459,109.3
разве,459,109.3
юный,458,109
вера,457,108.8
классический,456,108.6
модель,456,108.6
магазин,456,108.6
х,456,108.6
служба,455,108.3
соответствовать,454,108.1
намного,454,108.1
танец,454,108.1
веселый,454,108.1
сад,454,108.1
мыло,453,107.9
меняться,452,107.6
кит,452,107.6
металлический,452,107.6
понадобиться,451,107.4
желать,451,107.4
оценивать,451,107.4
